X,Y,Layer,SubClasses,ExtendedEntity,Linetype,EntityHandle,Text
-16247.4857880655,-40964.2949371459,0,AcDbEntity:AcDbPoint,,,616E,
-15893.69098018,-38708.6721996507,0,AcDbEntity:AcDbPoint,,,616F,
-19247.4618843652,-36860.3322934964,0,AcDbEntity:AcDbPoint,,,6171,
-16723.6245822442,-37296.4989758152,0,AcDbEntity:AcDbPoint,,,6172,
-14811.7856358896,-37847.9509001568,0,AcDbEntity:AcDbPoint,,,6173,
-18067.5576846635,-34702.7753911446,0,AcDbEntity:AcDbPoint,,,6174,
-21765.5375030116,-35117.0912495392,0,AcDbEntity:AcDbPoint,,,6175,
-20292.8906461545,-35378.7644967764,0,AcDbEntity:AcDbPoint,,,6176,
-20549.2037080335,-33784.1536963418,0,AcDbEntity:AcDbPoint,,,6177,
-18796.509992202,-33398.0994269392,0,AcDbEntity:AcDbPoint,,,6178,
-19140.1885505616,-32784.0804915859,0,AcDbEntity:AcDbPoint,,,6179,
-17507.7151484217,-33204.8768139776,0,AcDbEntity:AcDbPoint,,,617A,
-11720.3149157641,-40430.7489331879,0,AcDbEntity:AcDbPoint,,,617B,
-10059.546706607,-40075.4299362282,0,AcDbEntity:AcDbPoint,,,617C,
-9416.54478030012,-39925.7556055348,0,AcDbEntity:AcDbPoint,,,617D,
-10334.6084209761,-38330.4372003367,0,AcDbEntity:AcDbPoint,,,617E,
-9476.02935723285,-37815.9254292929,0,AcDbEntity:AcDbPoint,,,617F,
-5710.85355858033,-38863.0451321288,0,AcDbEntity:AcDbPoint,,,6180,
-12829.6722962101,-38031.7263051066,0,AcDbEntity:AcDbPoint,,,6181,
-13377.166189884,-36046.033693647,0,AcDbEntity:AcDbPoint,,,6182,
-6802.56823584321,-36994.4049587971,0,AcDbEntity:AcDbPoint,,,6183,
-8521.14647721959,-36352.506591308,0,AcDbEntity:AcDbPoint,,,6184,
-6304.69410121516,-35848.189161691,0,AcDbEntity:AcDbPoint,,,6185,
-9911.71215086139,-35315.1487892458,0,AcDbEntity:AcDbPoint,,,6186,
-10971.8694081681,-34216.4645891822,0,AcDbEntity:AcDbPoint,,,6187,
-7306.02285321202,-34040.8875382782,0,AcDbEntity:AcDbPoint,,,6188,
-5468.78237452375,-33382.9188883452,0,AcDbEntity:AcDbPoint,,,6189,
-7793.12841567199,-32596.4501352209,0,AcDbEntity:AcDbPoint,,,618A,
-8585.76265893702,-31980.4350728096,0,AcDbEntity:AcDbPoint,,,618B,
-6372.28847320221,-31052.573590657,0,AcDbEntity:AcDbPoint,,,618C,
-4827.17731842637,-31426.5685484783,0,AcDbEntity:AcDbPoint,,,618D,
