"ID";"Year";"global_id";"AdmArea";"District";"Address";"EstimatedindexValue";"PollutionCategory";"PollutionLevel";"geoData";
"6037";"2020";"1088681299";"Южный административный округ";"район Зябликово";"город Москва, Шипиловская улица, дом 60, корпус 1";"1.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.7485207640642, 55.6216552612965]}";
"6038";"2020";"1088681263";"Южный административный округ";"район Москворечье-Сабурово";"город Москва, Каширское шоссе, дом 28, корпус 2";"6.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.6485957201078, 55.6529607179879]}";
"6039";"2020";"1088681278";"Южный административный округ";"район Нагатино-Садовники";"город Москва, 2-й Нагатинский проезд, дом 6";"4.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.6390565324454, 55.6741428428549]}";
"6040";"2020";"1088681276";"Южный административный округ";"район Нагатино-Садовники";"город Москва, Каширское шоссе, дом 11, корпус 1";"5.4";"допустимая";"минимальный";"{type=Point, coordinates=[37.6300701926859, 55.6675403446293]}";
"6041";"2020";"1088681307";"Южный административный округ";"район Орехово-Борисово Северное";"город Москва, Борисовский проезд, дом 15, корпус 2";"2.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.7269698448799, 55.6264321780711]}";
"6042";"2020";"1088954119";"Южный административный округ";"район Орехово-Борисово Северное";"город Москва, Шипиловский проезд, дом 14";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.6937411185946, 55.6126884487786]}";
"6043";"2020";"1088681304";"Южный административный округ";"район Орехово-Борисово Южное";"город Москва, Гурьевский проезд, дом 9, корпус 1";"4.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.7429006477401, 55.6003101860091]}";
"6044";"2020";"1088681290";"Южный административный округ";"район Царицыно";"город Москва, Ереванская улица, дом 28, корпус 1";"4.3";"допустимая";"минимальный";"{type=Point, coordinates=[37.6781355316419, 55.6278446635384]}";
"6045";"2020";"1088681294";"Южный административный округ";"район Царицыно";"город Москва, улица Бехтерева, дом 27, корпус 2";"4.8";"допустимая";"минимальный";"{type=Point, coordinates=[37.6495986633597, 55.6259583503285]}";
"6046";"2020";"1088681039";"Центральный административный округ";"район Хамовники";"город Москва, Фрунзенская набережная, дом 32";"8.6";"допустимая";"слабый";"{type=Point, coordinates=[37.5869571328809, 55.7236028668006]}";
"6047";"2020";"1088680790";"Северный административный округ";"Хорошёвский район";"город Москва, 1-я Магистральная улица, дом 22, корпус 2";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.5138075235981, 55.7725105311695]}";
"6048";"2020";"1088681264";"Южный административный округ";"Донской район";"город Москва, Загородное шоссе, дом 2, строение 1А";"1.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.6058452103326, 55.6977854822811]}";
"6049";"2020";"1088680646";"Западный административный округ";"район Кунцево";"город Москва, Молодогвардейская улица, дом 60";"3.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.3912245241535, 55.7343903096309]}";
"6050";"2020";"1088680647";"Западный административный округ";"район Кунцево";"город Москва, Молодогвардейская улица, дом 66";"4.2";"допустимая";"минимальный";"{type=Point, coordinates=[37.3800250539744, 55.7325951997862]}";
"6051";"2020";"1088680633";"Западный административный округ";"Можайский район";"город Москва, Беловежская улица, дом 63";"4.4";"допустимая";"минимальный";"{type=Point, coordinates=[37.3941604800705, 55.7086424409855]}";
"6052";"2020";"1088680630";"Западный административный округ";"Можайский район";"город Москва, улица Толбухина, дом 10, корпус 4";"7.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.405752014468, 55.7203248081697]}";
"6053";"2020";"1088680702";"Зеленоградский административный округ";"район Крюково";"город Москва, город Зеленоград, корпус 1606";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.150729411491, 55.976689644592]}";
"6054";"2020";"1088680698";"Зеленоградский административный округ";"район Крюково";"город Москва, Середниковская улица, дом 12, строение 5";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.2060347027985, 55.9513337497798]}";
"6055";"2020";"1088680700";"Зеленоградский административный округ";"район Крюково";"город Москва, город Зеленоград, посёлок Рожки, дом 12";"1.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.2167094516235, 55.9499814679811]}";
"6056";"2020";"1088680714";"Зеленоградский административный округ";"район Матушкино";"город Москва, город Зеленоград, Панфиловский проспект, дом 2А";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.2052272988828, 56.0138170989114]}";
"6057";"2020";"1088680711";"Зеленоградский административный округ";"район Матушкино";"город Москва, город Зеленоград, Панфиловский проспект, дом 10";"1.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.2022216083574, 56.0122007966121]}";
"6058";"2020";"1088680713";"Зеленоградский административный округ";"район Матушкино";"город Москва, город Зеленоград, корпус 231";"2.4";"допустимая";"минимальный";"{type=Point, coordinates=[37.2034346809254, 56.0033520931041]}";
"6059";"2020";"1088680706";"Зеленоградский административный округ";"район Савёлки";"город Москва, город Зеленоград, корпус 623";"1.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.2276888814696, 55.9904042984209]}";
"6060";"2020";"1088681254";"Юго-Западный административный округ";"район Коньково";"город Москва, улица Введенского, дом 1";"1.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.5522202720039, 55.6468705485901]}";
"6061";"2020";"1088680659";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, Ленинский проспект, дом 146";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.4968496512235, 55.6571617349441]}";
"6062";"2020";"1088681229";"Юго-Западный административный округ";"Обручевский район";"город Москва, улица Обручева, дом 19, корпус 1";"14.2";"допустимая";"слабый";"{type=Point, coordinates=[37.5186691841045, 55.6587491984954]}";
"6063";"2020";"1088681214";"Юго-Западный административный округ";"район Ясенево";"город Москва, Профсоюзная улица, дом 123";"1.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.5142447890919, 55.6239535649128]}";
"6064";"2020";"1088681224";"Юго-Западный административный округ";"район Тёплый Стан";"город Москва, улица Островитянова, дом 10/1";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.4921655611442, 55.6436763634751]}";
"6065";"2020";"1088680626";"Западный административный округ";"район Проспект Вернадского";"город Москва, улица Удальцова, дом 65Б";"3.7";"допустимая";"минимальный";"{type=Point, coordinates=[37.5017988858355, 55.6784315350239]}";
"6066";"2020";"1088680661";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, улица Академика Анохина, дом 28, корпус 2";"1.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.4708992503756, 55.6599773440064]}";
"6067";"2020";"1088698475";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, проспект Вернадского, дом 86В";"1.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.4801242562037, 55.6616009715167]}";
"6068";"2020";"1088680663";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, улица Мичуринский Проспект, Олимпийская Деревня, владение 21А";"9.0";"допустимая";"слабый";"{type=Point, coordinates=[37.4580086929174, 55.6725596527368]}";
"6069";"2020";"1088680670";"Западный административный округ";"район Тропарёво-Никулино";"город Москва, улица Академика Анохина, дом 34, корпус 2";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.4653338860038, 55.659305818401]}";
"6070";"2020";"1088680769";"Северный административный округ";"Тимирязевский район";"город Москва, Дмитровское шоссе, дом 42";"1.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.5707016222623, 55.8422623630821]}";
"6071";"2020";"1088680772";"Северный административный округ";"район Левобережный";"город Москва, Флотская улица, дом 5, корпус Б";"2.5";"допустимая";"минимальный";"{type=Point, coordinates=[37.4910796551585, 55.8513019055164]}";
"6072";"2020";"1088681094";"Юго-Восточный административный округ";"район Некрасовка";"город Москва, Рождественская улица, дом 21, корпус 4";"2.3";"допустимая";"минимальный";"{type=Point, coordinates=[37.9152096715244, 55.7058882007247]}";
"6073";"2020";"1088681097";"Юго-Восточный административный округ";"район Некрасовка";"город Москва, 1-я Вольская улица, дом 24, корпус 1";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.9284647132235, 55.6828200283695]}";
"6074";"2020";"1088681098";"Юго-Восточный административный округ";"район Некрасовка";"город Москва, улица Недорубова, дом 12";"1.8";"допустимая";"минимальный";"{type=Point, coordinates=[37.9341580550793, 55.7015520093555]}";
"6075";"2020";"1088681100";"Юго-Восточный административный округ";"район Некрасовка";"город Москва, улица Недорубова, дом 26";"2.4";"допустимая";"минимальный";"{type=Point, coordinates=[37.9370063219479, 55.7070310960878]}";
"6076";"2020";"1088681102";"Юго-Восточный административный округ";"район Некрасовка";"город Москва, улица Маршала Ерёменко, дом 5, корпус 1";"4.8";"допустимая";"минимальный";"{type=Point, coordinates=[37.9483268047577, 55.7122201877818]}";
"6077";"2020";"1088681312";"Южный административный округ";"район Братеево";"город Москва, Проектируемый проезд № 5402, владение 19";"5.4";"допустимая";"минимальный";"{type=Point, coordinates=[37.7813139624802, 55.6248317888433]}";
"6078";"2020";"1088680687";"Западный административный округ";"район Внуково";"город Москва, посёлок Толстопальцево, улица Осипенко, дом 8";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.2082430228963, 55.6117481859946]}";
"6079";"2020";"1088698468";"Западный административный округ";"Можайский район";"город Москва, Дорогобужская улица, дом 21";"0.0";"допустимая";"минимальный";"{type=Point, coordinates=[37.4211486025719, 55.7139913767689]}";
"6080";"2020";"1088680688";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, улица Генерала Дорохова, дом 18, строение 2";"1.8";"допустимая";"минимальный";"{type=Point, coordinates=[37.4442149519843, 55.6915214580584]}";
"6081";"2020";"1088680692";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, Рябиновая улица, дом 53, строение 8";"1.6";"допустимая";"минимальный";"{type=Point, coordinates=[37.4273835527678, 55.6924325186763]}";
"6082";"2020";"1088680690";"Западный административный округ";"район Очаково-Матвеевское";"город Москва, Озёрная улица, дом 14";"5.4";"допустимая";"минимальный";"{type=Point, coordinates=[37.4574629378991, 55.6803746309996]}";
"6083";"2020";"1088680679";"Западный административный округ";"район Солнцево";"город Москва, Домостроительная улица, дом 3";"20.3";"умеренно-опасная";"средний";"{type=Point, coordinates=[37.4280587100961, 55.6649624452303]}";
"6084";"2020";"1088680695";"Западный административный округ";"район Филёвский Парк";"город Москва, Тучковская улица, дом 9";"11.8";"допустимая";"слабый";"{type=Point, coordinates=[37.509713303857, 55.747321008728]}";
"6085";"2020";"1088681006";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 43, строение 2";"15.1";"допустимая";"слабый";"{type=Point, coordinates=[37.6800287631006, 55.7705801838043]}";
"6086";"2020";"1088680993";"Центральный административный округ";"Басманный район";"город Москва, улица Казакова, дом 15";"27.3";"умеренно-опасная";"средний";"{type=Point, coordinates=[37.6637431942861, 55.7629137357895]}";
"6087";"2020";"1088681010";"Центральный административный округ";"Басманный район";"город Москва, Большая Почтовая улица, дом 26В, строение 1";"2.2";"допустимая";"минимальный";"{type=Point, coordinates=[37.6986155210278, 55.7784736166316]}";
