Name;Adress;Description;Year;X;Y
"Павильон "Ластоногие" в Московском зоопарке";"Москва, ЦАО, район Пресненский, ул. Большая Грузинская, вл. 1, стр. 109";"";2022;55.764425;37.575495
"Многофункциональное общественное здание";"Осенний бульвар, вл. 8А";"";2021;55.7561128;37.4091284
"Школа, сельское поселение Сосенское, на 1100 мест";"НАО, поселение Сосенское, п. Коммунарка";"";2020;55.5704931;37.4754231
"Парк «Событие»";"";"";;;
"Жилой дом с инженерными сетями и благоустройством территории";"Москва, САО, район Коптево, Соболевский проезд, д. 20Б";"";2021;55.834731;37.5235384
"Стартовая площадка";"улица 40 лет Октября, владения 12, 16/1, Симферопольская улица, владение 2";"";;55.5108925;37.5639251
"Стартовая площадка";"улица Кубинка, владение 16–1";"";;55.7211512;37.4072989
"Стартовая площадка";"Каспийская улица, напротив владения 28";"";;55.6233079;37.6739852
"Стартовая площадка";"3-я Институтская улица, рядом с домом 4";"";;55.7233744;37.7822104
"Стартовая площадка";"Зарайская улица, владение 46, корпуса 1, 2, Шатурская улица, владение 39";"";;55.7279128;37.7719487
"Стартовая площадка";"улица Михайлова, владение 15, корпуса 1, 2";"";;43.925122;132.006937
"Стартовая площадка";"шоссе Фрезер, владение 17, строения 1, 2";"";;55.735153;37.733845
"Стартовая площадка";"2-я Фрезерная улица, владение 6";"";;55.7412062;37.7445927
"Стартовая площадка";"Совхозная улица, владение 55, корпус 1";"";;55.6807987;37.7631625
"Стартовая площадка";"улица Шумилова, владение 26/6, Есенинский бульвар, владение 6, улица Шумилова, владение 24";"";;55.7065766;37.7790395
"Стартовая площадка";"Жигулевская улица, владение 12, корпус 6";"";;55.7102892;37.7591348
"Стартовая площадка";"Сиреневый б-р, влд. 4/1";"";2022;55.8010739;37.7600483
"Стартовая площадка";"Открытое шоссе, владение 14д";"";;55.8142688;37.7406796
"Стационарное отделение скорой медицинской помощи на территории ГБУЗ «ГКБ им. В.В. Вересаева ДЗМ» на 30 диагностических коек";"Москва, САО, Дмитровский, ул. Лобненская, вл. 10";"";2021;55.8897375;37.5326053
"Стартовые площадки";"4-я улица Марьиной Рощи, владение 12";"";;55.7982433;37.6246261
"Стартовые площадки";"Ленская улица, вблизи владения 8, корпус 1";"";;55.8668071;37.6674237
"Стартовые площадки";"улица Летчика Бабушкина, владение 29, корпус 5";"";;55.8698661;37.6720373
"Жилой дом по программе реновации";"п. Шишкин Лес, вл. 9, корп. 1 (присв. - п. Шишкин Лес, д. 9, корп. 1)";"";2020;55.411966;37.188241
"Ледовый каток "Сталкер"";"Москва, СЗАО, Куркино, Машкинское шоссе вл. 23";"";2022;55.9063764;37.3716663
"Реконструкция многофункционального жилищно-бытового комплекса Академии ГПС МЧС России по адресу: ул. Бориса Галушкина, вл. 5, стр. 2, Север-Восточного административного округа  города Москвы";"Москва, СВАО, Алексеевский, Галушкина Бориса ул. вл. 5 стр. 2";"";2021;55.8258805;37.6529339
"Стартовая площадка";"Спортивная улица, вл. 1, 3, 5";"";;55.61179;37.299641
"Стартовая площадка";"посёлок Шишкин Лес, вл. 5";"";;55.413576;37.192768
"Стартовая площадка";"улица Свободы, вл. 69";"";;55.8574485;37.4491008
"Стартовая площадка";"бульвар Яна Райниса, вл. 2, корп. 2, 3";"";;55.8515036;37.4319808
"Стартовая площадка";"Севанская улица, вл. 60";"";;55.6249251;37.6480197
"Стартовая площадка";"Варшавское шоссе, вл. 8А-10А";"";;55.699294;37.618228
"Стартовая площадка";"Новохохловская улица, вл. 15/2";"";;55.7286664;37.7131134
"Стартовая площадка";"улица Петра Романова, вл. 10";"";;55.7066377;37.6821873
"Стартовая площадка";"улица Плеханова, вл. 24А";"";;55.7412769;37.7674729
"Стартовая площадка";"Открытое шоссе, вл. 26, корп. 3";"";;55.826712;37.7653447
"Стартовая площадка";"Никитинская улица, вл. 5";"";;55.7964366;37.7744617
"Стартовая площадка";"Тюменская улица, вл. 5";"";;55.8087809;37.7394579
"Стартовая площадка";"Кольская улица, вл. 7";"";;55.8590901;37.6483181
"Стартовая площадка";"Стартовая улица, вблизи вл. 3";"";;55.8866422;37.7055845
"Стартовая площадка";"Изумрудная улица, вл. 28";"";;55.4846387;37.3067639
"Стартовая площадка";"улица Коминтерна, вл. 2";"";;55.8606724;37.6748252
"Стартовая площадка";"Старокоптевский переулок, вл. 7";"";;55.8353562;37.5182478
"Стартовая площадка";"Михалковская улица, вл. 10";"";;55.8381262;37.5357371
"Стартовая площадка";"проезд Черепановых, вл. 54А";"";;55.8430112;37.5381554
"Стартовая площадка";"Лобненская улица, вл. 9А";"";;55.887951;37.5382167
"Стартовая площадка";"Бескудниковский бульвар, вл. 50";"";;55.8738801;37.5397385
"Стартовая площадка";"Доброслободская улица, вл. 10, стр. 3";"";;55.7672087;37.6736441
"Жилой дом, кв. 998, район Красносельский, Русаковская ул., д. 6 (со сносом здания отселенного дома, ул. Русаковская, д. 6, стр. 2.) 2-й этап";"Москва, ЦАО, район Красносельский, ул. Русаковская, вл. 6";"";2022;55.7826116;37.673125
"Жилой дом";"пос. Рязановское, п. Фабрики им. 1 Мая, квартал № 99, вл. 1";"";2021;55.4854229;37.4986044
"Патологоанатомический корпус государственного бюджетного учреждения здравоохранения города Москвы "Городская клиническая больница им. А.К. Ерамишанцева Департамента здравоохранения города Москвы"";"Москва, СВАО, Бабушкинский, Ленская ул. д. 15";"";2021;55.8656487;37.6659444
"Школа на 550 мест, район Савеловский, ул. 8-го Марта, вл. 4 (на месте сноса здания школы) с инженерной подготовкой территории";"Москва, САО, Савеловский, Восьмого марта ул. вл. 4";"";2021;55.508718;37.580744
"Стартовая площадка";"Солнечная аллея, влд. 935";"";2022;55.6227646;37.6666311
"Многофункциональный жилой комплекс";"ул. Фестивальная, вл. 15";"";2022;55.8584266;37.4749219
"Комплекс зданий в составе 4 корпусов, включающих нежилые помещения для временного проживания, являющихся частью многофункционального комплекса спортивной направленности с соответствующей инфраструктурой";"Волоколамское шоссе, влд. 71/22";"";2022;55.8222156;37.4378627
