"ID";"ObjectNameOnDoc";"global_id";"ObjectName";"Link";"geodata_center";"geoarea";
"7687";"Охранная (объединенная охранная) зона";"19657580";"";"[]";"{""coordinates"":[37.6711408584103,55.7706190319405],""type"":""Point""}";"";
"7688";"Охранная (объединенная охранная) зона";"19657581";"";"[]";"{""coordinates"":[37.6713014466915,55.766591757928],""type"":""Point""}";"";
"7689";"Охранная (объединенная охранная) зона";"19657582";"";"[]";"{""coordinates"":[37.6709017352993,55.7617213083755],""type"":""Point""}";"";
"7690";"Охранная (объединенная охранная) зона";"19657583";"";"[]";"{""coordinates"":[37.6686338922147,55.7546074648825],""type"":""Point""}";"";
"7691";"Охранная (объединенная охранная) зона";"19657584";"";"[]";"{""coordinates"":[37.6775681964849,55.769977213752],""type"":""Point""}";"";
"7692";"Охранная (объединенная охранная) зона";"19657585";"";"[]";"{""coordinates"":[37.6849918431644,55.773239475637],""type"":""Point""}";"";
"7693";"Охранная (объединенная охранная) зона";"19657586";"";"[]";"{""coordinates"":[37.6852780812614,55.7679085007165],""type"":""Point""}";"";
"7694";"Охранная (объединенная охранная) зона";"19657587";"";"[]";"{""coordinates"":[37.6750599137799,55.7546216151235],""type"":""Point""}";"";
"7695";"Охранная (объединенная охранная) зона";"19657588";"";"[]";"{""coordinates"":[37.6939323451833,55.765056279963],""type"":""Point""}";"";
"7696";"Охранная (объединенная охранная) зона";"19657589";"";"[]";"{""coordinates"":[37.7078199418997,55.768816159702],""type"":""Point""}";"";
"7697";"Охранная (объединенная охранная) зона";"19657590";"";"[]";"{""coordinates"":[37.6883834430664,55.7749626703345],""type"":""Point""}";"";
"7698";"Охранная (объединенная охранная) зона";"19657591";"";"[]";"{""coordinates"":[37.6920153348178,55.7791143723825],""type"":""Point""}";"";
"7699";"Охранная (объединенная охранная) зона";"19657592";"";"[]";"{""coordinates"":[37.6590819053701,55.7547754961445],""type"":""Point""}";"";
"7700";"Охранная (объединенная охранная) зона";"19657593";"";"[]";"{""coordinates"":[37.6589037582999,55.7517862327435],""type"":""Point""}";"";
"7701";"Охранная (объединенная охранная) зона";"19657594";"";"[]";"{""coordinates"":[37.6586079770346,55.745960730206],""type"":""Point""}";"";
"7702";"Охранная (объединенная охранная) зона";"19657595";"";"[]";"{""coordinates"":[37.6744228365681,55.7429618452895],""type"":""Point""}";"";
"9512";"Охранная (объединенная охранная) зона";"19657596";"";"[]";"{""coordinates"":[37.6691472799381,55.73799749877],""type"":""Point""}";"";
"9513";"Охранная (объединенная охранная) зона";"19657597";"";"[]";"{""coordinates"":[37.6687173744162,55.7356593418315],""type"":""Point""}";"";
"9514";"Охранная (объединенная охранная) зона";"19657598";"";"[]";"{""coordinates"":[37.655268216792,55.7318681623505],""type"":""Point""}";"";
"9515";"Охранная (объединенная охранная) зона";"19657599";"";"[]";"{""coordinates"":[37.6589619586707,55.728449988903],""type"":""Point""}";"";
"7703";"Охранная (объединенная охранная) зона";"19657600";"";"[]";"{""coordinates"":[37.655604056929,55.712732441605],""type"":""Point""}";"";
"7704";"Охранная (объединенная охранная) зона";"19657601";"";"[]";"{""coordinates"":[37.6490201808197,55.72668227608],""type"":""Point""}";"";
"7705";"Охранная (объединенная охранная) зона";"19657602";"";"[]";"{""coordinates"":[37.6375481039856,55.728374954687],""type"":""Point""}";"";
"7706";"Охранная (объединенная охранная) зона";"19657603";"";"[]";"{""coordinates"":[37.6295858319756,55.728626384065],""type"":""Point""}";"";
"7707";"Охранная (объединенная охранная) зона";"19657604";"";"[]";"{""coordinates"":[37.6238775460246,55.727522782065],""type"":""Point""}";"";
"7708";"Охранная (объединенная охранная) зона";"19657605";"";"[]";"{""coordinates"":[37.6211406661607,55.7289602291165],""type"":""Point""}";"";
"7709";"Охранная (объединенная охранная) зона";"19657606";"";"[]";"{""coordinates"":[37.6177683714237,55.7261601953995],""type"":""Point""}";"";
"7710";"Охранная (объединенная охранная) зона";"19657607";"";"[]";"{""coordinates"":[37.6373771538182,55.7228029005445],""type"":""Point""}";"";
"7711";"Охранная (объединенная охранная) зона";"19657608";"";"[]";"{""coordinates"":[37.6300282255914,55.714378688313],""type"":""Point""}";"";
"7712";"Охранная (объединенная охранная) зона";"19657609";"";"[]";"{""coordinates"":[37.6280149791365,55.7108633389755],""type"":""Point""}";"";
"7713";"Охранная (объединенная охранная) зона";"19657610";"";"[]";"{""coordinates"":[37.6110629590649,55.7259988328585],""type"":""Point""}";"";
"7714";"Охранная (объединенная охранная) зона";"19657611";"";"[]";"{""coordinates"":[37.5964516706293,55.721662971313],""type"":""Point""}";"";
"7715";"Охранная (объединенная охранная) зона";"19657612";"";"[]";"{""coordinates"":[37.6107266787941,55.7237756641905],""type"":""Point""}";"";
"7716";"Охранная (объединенная охранная) зона";"19657613";"";"[]";"{""coordinates"":[37.6092117304389,55.718865664354],""type"":""Point""}";"";
"7717";"Охранная (объединенная охранная) зона";"19657614";"";"[]";"{""coordinates"":[37.6139770002616,55.7121122988605],""type"":""Point""}";"";
"7718";"Охранная (объединенная охранная) зона";"19657615";"";"[]";"{""coordinates"":[37.6100295830191,55.7132446379365],""type"":""Point""}";"";
"7719";"Охранная (объединенная охранная) зона";"19657616";"";"[]";"{""coordinates"":[37.6020721266427,55.715963466619],""type"":""Point""}";"";
"7720";"Охранная (объединенная охранная) зона";"19657617";"";"[]";"{""coordinates"":[37.5957639415433,55.7110287287005],""type"":""Point""}";"";
"7723";"Охранная (объединенная охранная) зона";"19657618";"";"[]";"{""coordinates"":[37.6208506619986,55.749697210847],""type"":""Point""}";"";
